"distant" "talkatv" "carelss" "hardwrk" "anxious" "agreebl" "tense" "kind" "opposng" "relaxed" "disorgn" "outgoin" "approvn" "shy" "discipl" "harsh" "persevr" "friendl" "worryin" "respnsi" "contrar" "sociabl" "lazy" "coopera" "quiet" "organiz" "criticl" "lax" "laidbck" "withdrw" "givinup" "easygon"
"1" 2 7 1 4 7 8 5 9 5 6 3 2 7 9 5 5 8 9 9 9 5 9 7 9 9 5 5 5 7 5 5 8
"2" 3 8 2 7 5 8 4 8 5 7 5 8 7 6 7 3 7 7 5 7 5 8 2 7 6 6 4 3 7 2 2 7
"3" 6 6 2 5 1 8 2 9 2 8 7 6 7 5 5 2 5 8 3 9 2 8 5 8 7 4 5 5 7 6 2 8
"4" 3 7 6 7 8 8 2 8 3 7 2 5 6 4 6 2 8 8 3 8 2 6 3 8 4 7 6 6 6 4 3 7
"5" 7 3 3 5 8 6 7 2 3 3 5 2 5 8 7 5 6 2 8 7 3 2 6 6 7 5 5 3 3 7 5 5
"6" 7 6 7 6 7 8 7 8 5 5 6 5 6 8 5 3 6 7 7 7 5 4 5 7 8 6 6 4 4 6 4 7
"7" 3 6 8 6 6 7 3 5 3 7 7 8 7 5 7 2 4 8 6 2 2 9 6 6 4 4 6 9 9 2 3 8
"8" 7 6 2 9 7 8 6 7 2 4 4 6 5 4 8 6 8 6 5 8 5 7 4 8 6 6 4 3 2 5 6 6
"9" 2 6 2 8 2 7 4 7 4 8 3 8 7 3 6 4 8 8 2 8 3 8 3 8 5 7 7 3 6 3 1 7
"10" 4 7 3 6 3 7 3 7 5 6 3 5 7 5 7 6 7 6 4 7 4 7 3 7 5 6 5 3 4 4 2 5
"11" 3 5 2 8 3 7 3 5 4 5 2 5 4 7 8 7 8 7 3 8 5 7 4 7 7 8 7 5 5 6 2 7
"12" 3 4 6 4 7 4 7 4 6 5 5 3 4 7 4 6 4 4 7 5 6 4 5 4 7 5 5 5 5 7 7 4
"13" 2 5 4 7 8 8 7 8 3 4 3 5 6 6 7 2 7 7 8 6 2 6 5 8 8 6 3 3 3 5 4 4
"14" 7 3 2 8 5 8 3 7 4 7 5 3 5 6 8 2 7 8 7 8 3 5 3 6 7 4 5 3 7 6 3 7
"15" 7 3 5 6 6 7 6 6 3 5 3 4 6 6 5 3 7 6 6 7 4 4 5 6 5 6 4 5 6 6 4 6
"16" 6 3 2 8 4 6 5 8 3 6 1 6 5 7 8 2 8 7 6 8 3 7 1 7 7 8 5 1 6 5 1 6
"17" 4 5 4 8 7 6 7 7 4 4 2 6 5 5 6 1 9 8 9 9 3 5 5 9 5 9 9 7 3 5 1 6
"18" 6 5 2 9 6 5 6 6 4 4 1 6 7 5 9 3 9 7 8 9 6 6 3 5 5 9 6 1 5 6 2 6
"19" 2 7 2 7 3 6 6 7 2 6 6 8 6 2 6 2 7 7 2 9 3 7 4 7 2 6 3 2 7 2 2 7
"20" 6 4 3 5 6 6 5 8 2 4 4 4 6 7 6 2 6 6 4 6 5 6 7 8 6 6 6 5 5 6 4 6
"21" 5 5 2 8 6 5 6 8 4 2 1 4 5 5 7 4 9 7 8 8 6 5 2 5 4 8 6 3 1 6 6 5
"22" 1 8 1 7 2 8 1 8 3 8 2 8 8 1 4 1 8 9 2 7 1 8 4 7 3 7 3 6 6 1 1 7
"23" 7 7 5 6 7 7 7 6 4 2 6 5 5 5 7 5 4 6 7 5 4 6 7 4 7 5 7 3 4 3 4 4
"24" 5 5 2 8 5 7 7 7 3 6 1 3 5 4 9 6 7 6 4 7 5 5 6 6 6 9 5 5 6 7 3 4
"25" 5 6 3 8 8 4 6 7 6 4 4 4 6 6 8 7 7 7 5 7 6 4 5 6 6 7 7 5 5 6 5 7
